Sr,Name,Docstatus,Customer,Type of Invoice,Grand Total,Status,Currency,Grand Total (Company Currency),Outstanding Amount,Payment Due Date,Integrator ID,Party Account Currency,POS Profile,Date,Price List Rate,Item Name,Item,Sales Invoice
1501,ACC-SINV-2024-01528,1,Cash - Shopify ID,Full Payment,335344,Paid,IDR,335344,0,2024-05-19,323828,IDR,Shopify ID - Kasir,2024-05-19,298000,TATA FOLDABLE BACKPACK - BLACK ,TUBBF304800BAPOLNG,6c98d1ab39
1502,ACC-SINV-2024-01528,1,Cash - Shopify ID,Full Payment,335344,Paid,IDR,335344,0,2024-05-19,323828,IDR,Shopify ID - Kasir,2024-05-19,68000,Dafi Multi Pouch XL - Black ,TUBPU351875BAPOLNG,8948603a5c
1503,ACC-SINV-2024-01528,1,Cash - Shopify ID,Full Payment,335344,Paid,IDR,335344,0,2024-05-19,323828,IDR,Shopify ID - Kasir,2024-05-19,78000,DAFI DRAWSTRING BAG LARGE - BLACK,TUBDS351974BAPOLNG,bfc65edfdc
1504,ACC-SINV-2024-01527,1,Cash - Shopify ID,Full Payment,99680,Paid,IDR,99680,0,2024-05-19,323830,IDR,Shopify ID - Kasir,2024-05-19,178000,MIANGAS BASEBALL HAT - BLACK,TUHHB318200BAPOLNG,acf6f54f29
1505,ACC-SINV-2024-01526,1,Cash - Shopify ID,Full Payment,91954.8,Paid,IDR,91954.8,0,2024-05-19,323833,IDR,Shopify ID - Kasir,2024-05-19,178000,MIANGAS BASEBALL HAT - NAVY,TUHHB318200INPOLTR,f72759ee7a
1506,ACC-SINV-2024-01525,1,CUST-2024-01404,Full Payment,95164,Paid,IDR,95164,0,2024-05-19,323836-NONPCA,IDR,Shopify ID - Kasir,2024-05-19,148000,PARAGUAS FOLDABLE UMBRELLA - BLACK,TUCUM300800BADA,a6237da6ed
1507,ACC-SINV-2024-01524,1,CUST-2024-01443,Full Payment,37806.62,Paid,IDR,37806.62,0,2024-05-19,323836-NONPCA,IDR,Shopify ID - Kasir,2024-05-19,98000,DAFI COSMETIC POUCH (S) - NAVY,TUBPC350372INPOLNG,5909a946cd
1508,ACC-SINV-2024-01523,1,Cash - Shopify ID,Full Payment,257029.38,Paid,IDR,257029.38,0,2024-05-19,323836,IDR,Shopify ID - Kasir,2024-05-19,88000,NEO SAMGEO CARD HOLDER - BLACK,TMCWK200400BJNG,471a5ae1c2
1509,ACC-SINV-2024-01523,1,Cash - Shopify ID,Full Payment,257029.38,Paid,IDR,257029.38,0,2024-05-19,323836,IDR,Shopify ID - Kasir,2024-05-19,418000,SOLANA OFFICE BACKPACK - NAVY,TMBBO206200INNG,ed1eb682e3
1510,ACC-SINV-2024-01522,1,Cash - Shopify ID,Full Payment,208608,Paid,IDR,208608,0,2024-05-19,323837,IDR,Shopify ID - Kasir,2024-05-19,318000,ERSALONA FOLDABLE BACKPACK - BLACK,TMBBF205700BJNG,7ec6746a70
1511,ACC-SINV-2024-01521,1,Cash - Shopify ID,Full Payment,182400,Paid,IDR,182400,0,2024-05-19,323839,IDR,Shopify ID - Kasir,2024-05-19,228000,NEO CHEONAN UTILITY SLING BAG - GREY,TMBSM100100GRNXNG,8e4d442fb4
1512,ACC-SINV-2024-01520,1,Cash - Shopify ID,Full Payment,376445.6,Paid,IDR,376445.6,0,2024-05-19,323850,IDR,Shopify ID - Kasir,2024-05-19,178000,MIANGAS BASEBALL HAT - NAVY,TUHHB318200INPOLTR,5221686f30
1513,ACC-SINV-2024-01520,1,Cash - Shopify ID,Full Payment,376445.6,Paid,IDR,376445.6,0,2024-05-19,323850,IDR,Shopify ID - Kasir,2024-05-19,418000,AQUILA OFFICE BACKPACK - BLACK,TMBBO2034BJNG,90bffd541f
1514,MP-SINV-2024-81410-1,1,Cash - Shopify ID,Full Payment,323000,Paid,IDR,323000,0,2024-05-07,323849-NONPCA,IDR,Shopify ID - Kasir,2024-05-07,88000,NEO SAMGEO CARD HOLDER - BLACK,TMCWK200400BJNG,77320e699b
1515,MP-SINV-2024-81410-1,1,Cash - Shopify ID,Full Payment,323000,Paid,IDR,323000,0,2024-05-07,323849-NONPCA,IDR,Shopify ID - Kasir,2024-05-07,78000,DINERO MONEY BELT - OLIVE,TUBMB302500OGNG,77ab432b65
1516,MP-SINV-2024-81410-1,1,Cash - Shopify ID,Full Payment,323000,Paid,IDR,323000,0,2024-05-07,323849-NONPCA,IDR,Shopify ID - Kasir,2024-05-07,328000,JABAL SANDAL BLACK - 41,TMFSF315341BAPOLNG,daac43d0d0
1517,MP-SINV-2024-81410-1,1,Cash - Shopify ID,Full Payment,323000,Paid,IDR,323000,0,2024-05-07,323849-NONPCA,IDR,Shopify ID - Kasir,2024-05-07,98000,EVO SEOHA TOILETRIES - OLIVE,TUBOT200100OGBIMNG,fae8081779
1518,ACC-SINV-2024-01519,1,Cash - Shopify ID,Full Payment,251116.8,Paid,IDR,251116.8,0,2024-05-19,323851,IDR,Shopify ID - Kasir,2024-05-19,88000,DAFI SKINCARE POUCH - YELLOW,TUBPC350473YMPOLNG,a40f258447
1519,ACC-SINV-2024-01519,1,Cash - Shopify ID,Full Payment,251116.8,Paid,IDR,251116.8,0,2024-05-19,323851,IDR,Shopify ID - Kasir,2024-05-19,88000,DAFI SKINCARE POUCH - NAVY,TUBPC350473INPOLNG,b0874d5d43
1520,ACC-SINV-2024-01519,1,Cash - Shopify ID,Full Payment,251116.8,Paid,IDR,251116.8,0,2024-05-19,323851,IDR,Shopify ID - Kasir,2024-05-19,198000,GWANGJU Mini Office Messenger 14 - Navy,TMBSM100200IN,e771a510b7
1521,ACC-SINV-2024-01518,1,Cash - Shopify ID,Full Payment,198400,Paid,IDR,198400,0,2024-05-19,323880,IDR,Shopify ID - Kasir,2024-05-19,248000,ZIYAD SARUNG MOTIF - GREY,TMASG354300GCPOLAY,6eac7961e1
1522,MP-SINV-2024-79713,1,Cash - Shopify ID,Full Payment,155800,Paid,IDR,155800,0,2024-05-05,323912,IDR,Shopify ID - Kasir,2024-05-05,178000,Kashiba 3 L Hitam,TPL4.MC.80120B,30214647e0
1523,MP-SINV-2024-79713,1,Cash - Shopify ID,Full Payment,155800,Paid,IDR,155800,0,2024-05-05,323912,IDR,Shopify ID - Kasir,2024-05-05,68000,NEO ODER WALLET CARD C - BLACK,TUCCW101200BAPOLNG,8f2921da82
1524,ACC-SINV-2024-01517,1,Cash - Shopify ID,Full Payment,934926.08,Paid,IDR,934926.08,0,2024-05-19,323918,IDR,Shopify ID - Kasir,2024-05-19,999000,KANZAKI DP 30L Legion Blue,TPL4.MF.80090N,1595394530
1525,ACC-SINV-2024-01517,1,Cash - Shopify ID,Full Payment,934926.08,Paid,IDR,934926.08,0,2024-05-19,323918,IDR,Shopify ID - Kasir,2024-05-19,148000,Dafi Clothpack L - Navy ,TUBOC339974INPOLNG,600f9ff051
1526,ACC-SINV-2024-01517,1,Cash - Shopify ID,Full Payment,934926.08,Paid,IDR,934926.08,0,2024-05-19,323918,IDR,Shopify ID - Kasir,2024-05-19,48000,Dafi Multipouch Medium - Black,TUBPU351773BAPOLNG,ed35114eff
1527,ACC-SINV-2024-01516,1,CUST-2024-01455,Full Payment,64073.92,Paid,IDR,64073.92,0,2024-05-19,323918-NONPCA,IDR,Shopify ID - Kasir,2024-05-19,96000,Dafi Shoepack - Yellow,TUBOH319300YMPOLNG,795ca06dff
